IDENT,IDCEREMA,TYPE_QUEST,POIDSM,NBP_CATI,RESCOMM,RESDEP,RESCOUR,RESSECT,RESLNG,RESLAT,DATE_ENQ,JOUR,MOIS,ANNEE,JOURSEM,TYPE_JOUR,MNP,MNP5,MNPMOB,MNPACT,TYPE_MEN,TYPELOG,OCCUPLOG,ANARR_LOG,ACOMM_T,ACOMM_N,INTERNET,NB_VD,NB_2RM,NB_VEH,NB_VELO,NB_VAE,VP_ENT,VP_ASS,2RM_ENT,2RM_ASS,ABRI_VL,REVENU,RESCOMM_OLD,RESDEP_OLD,RESCOUR_OLD,RESLNG_OLD,RESLAT_OLD
c0137616-6883-4ef8-9e53-df692cd36b37,e187512007672,CAPI,0,2,75118,75,1,7512,2.354,48.888,2019/2/16,16,2,2019,samedi,samedi,2,2,2,2,Couple sans enfant,2,4,2009,1,,,0,0,0,0,0,,,,,1,7,75118,75,1,2.354,48.888
b6edb6ca-d778-42a9-b38c-7e976b1f549e,e187512007747,CAPI,764.4169349,2,75118,75,1,7512,2.358,48.89,2019/3/19,19,3,2019,mardi,Semaine,1,1,1,1,Femme seule,2,2,1993,,,,0,0,0,0,0,,,,,0,-2,75118,75,1,2.358,48.89
9aaff98d-8cca-4ffe-b702-9465150c4844,E187712013978,CAPI,0,2,77379,77,3,7712,3.29,48.571,2019/2/16,16,2,2019,samedi,samedi,1,1,0,0,Femme seule,2,3,1998,,,,0,0,0,1,0,,,,,,1,77379,77,3,3.29,48.571
73b72d40-b358-4ad8-94b2-9147c5e13a7e,E187712013983,CAPI,2658.058344,2,77379,77,3,7712,3.292,48.545,2019/2/21,21,2,2019,jeudi,Semaine,1,1,1,0,Femme seule,2,3,2006,,,,0,0,0,0,0,,,,,0,2,77379,77,3,3.292,48.545
95d39a42-b9eb-4750-858f-9d5c1ffde1bb,E187814021010,CAPI,1243.427524,2,78107,78,3,7814,1.567,48.973,2019/3/12,12,3,2019,mardi,Semaine,2,2,2,0,Couple sans enfant,1,2,1993,,,,2,0,2,3,0,5,4,,,,3,78107,78,3,1.567,48.973
30fb6919-7c7d-4026-a325-c2a8bc379d79,E189313042565,CAPI,3755.875873,2,93006,93,2,9313,2.418,48.864,2019/2/22,22,2,2019,vendredi,Semaine,1,1,1,1,Homme seul,2,3,2009,1,,,0,0,0,0,0,,,,,0,3,93006,93,2,2.418,48.864
7ed524be-9a6a-4282-b84c-0dd4db33a92e,E189313042570,CAPI,440.2162247,2,93006,93,2,9313,2.424,48.875,2019/4/18,18,4,2019,jeudi,Semaine,2,2,2,1,Couple sans enfant,1,2,1985,,,,1,0,1,2,0,3,1,,,,9,93006,93,2,2.424,48.875
50990b59-ad2b-417f-a9ac-33a4c9e1ca6b,E189313042690,CAPI,603.0807941,2,93045,93,2,9313,2.424,48.881,2019/2/18,18,2,2019,lundi,Semaine,1,1,1,0,Femme seule,2,3,1974,,,,1,0,1,0,0,2,1,,,0,4,93045,93,2,2.424,48.881
7add01c2-5db3-4310-808d-6526ddacf0a3,E189313042761,CAPI,0,2,93045,93,2,9313,2.414,48.878,2019/3/16,16,3,2019,samedi,samedi,2,2,2,1,Famille monoparentale m?re,2,2,2006,,,,1,0,1,0,0,5,1,,,1,6,93045,93,2,2.414,48.878
8b95586e-7e16-4424-93d5-1e2b3becb2f3,F187509004606H,CATI,0,2,75115,75,1,7509,2.295,48.845,2019/2/3,3,2,2019,dimanche,dimanche,1,1,1,0,Femme seule,2,2,2009,1,,,0,0,0,1,0,,,,,,5,75115,75,1,2.295,48.845
0119af04-abf2-4f48-8e9a-c055d51c2a1f,F187509004607H,CATI,0,2,75115,75,1,7509,2.283,48.847,2019/3/11,11,3,2019,lundi,Semaine,1,1,1,0,Femme seule,2,3,1998,,,,0,0,0,0,0,,,,,0,-2,75115,75,1,2.283,48.847
e37cecf6-253f-4c49-92ef-5adcd385d148,F187509004612H,CATI,0,2,75115,75,1,7509,2.282,48.839,2019/2/6,6,2,2019,mercredi,Semaine,1,1,1,0,Femme seule,2,2,2008,,,,1,0,1,0,0,-1,2,,,1,4,75115,75,1,2.282,48.839
